country,iso3c,iso2c,year,"Intentional homicides (per 100,000 people)","Suicide mortality rate (per 100,000 population)",GDP (current US$),"GDP per capita, PPP (current international $)",adminregion,incomeLevel
Afghanistan,AFG,AF,1970,,,1748886596,,South Asia,Low income
Afghanistan,AFG,AF,1971,,,1831108971,,South Asia,Low income
Afghanistan,AFG,AF,1972,,,1595555476,,South Asia,Low income
Afghanistan,AFG,AF,1973,,,1733333264,,South Asia,Low income
Afghanistan,AFG,AF,1974,,,2155555498,,South Asia,Low income
Afghanistan,AFG,AF,1975,,,2366666616,,South Asia,Low income
Afghanistan,AFG,AF,1976,,,2555555567,,South Asia,Low income
Afghanistan,AFG,AF,1977,,,2953333418,,South Asia,Low income
Afghanistan,AFG,AF,1978,,,3300000109,,South Asia,Low income
Afghanistan,AFG,AF,1979,,,3697940410,,South Asia,Low income
Afghanistan,AFG,AF,1980,,,3641723322,,South Asia,Low income
Afghanistan,AFG,AF,1981,,,3478787909,,South Asia,Low income
Afghanistan,AFG,AF,1982,,,,,South Asia,Low income
Afghanistan,AFG,AF,1983,,,,,South Asia,Low income
Afghanistan,AFG,AF,1984,,,,,South Asia,Low income
Afghanistan,AFG,AF,1985,,,,,South Asia,Low income
Afghanistan,AFG,AF,1986,,,,,South Asia,Low income
Afghanistan,AFG,AF,1987,,,,,South Asia,Low income
Afghanistan,AFG,AF,1988,,,,,South Asia,Low income
Afghanistan,AFG,AF,1989,,,,,South Asia,Low income
Afghanistan,AFG,AF,1990,,,,,South Asia,Low income
Afghanistan,AFG,AF,1991,,,,,South Asia,Low income
Afghanistan,AFG,AF,1992,,,,,South Asia,Low income
Afghanistan,AFG,AF,1993,,,,,South Asia,Low income
Afghanistan,AFG,AF,1994,,,,,South Asia,Low income
Afghanistan,AFG,AF,1995,,,,,South Asia,Low income
Afghanistan,AFG,AF,1996,,,,,South Asia,Low income
Afghanistan,AFG,AF,1997,,,,,South Asia,Low income
Afghanistan,AFG,AF,1998,,,,,South Asia,Low income
Afghanistan,AFG,AF,1999,,,,,South Asia,Low income
Afghanistan,AFG,AF,2000,,4.9,,,South Asia,Low income
Afghanistan,AFG,AF,2001,,5,,,South Asia,Low income
Afghanistan,AFG,AF,2002,,5,4055179566,877.0142683,South Asia,Low income
Afghanistan,AFG,AF,2003,,5,4515558808,927.857548,South Asia,Low income
Afghanistan,AFG,AF,2004,,5,5226778809,925.4414292,South Asia,Low income
Afghanistan,AFG,AF,2005,,5,6209137625,1023.051749,South Asia,Low income
Afghanistan,AFG,AF,2006,,4.9,6971285595,1077.76154,South Asia,Low income
Afghanistan,AFG,AF,2007,,4.8,9747879532,1228.703863,South Asia,Low income
Afghanistan,AFG,AF,2008,,4.6,10109305183,1272.572975,South Asia,Low income
Afghanistan,AFG,AF,2009,3.926774495,4.4,12416161049,1519.692923,South Asia,Low income
Afghanistan,AFG,AF,2010,3.368109608,4.3,15856678596,1710.575411,South Asia,Low income
Afghanistan,AFG,AF,2011,4.087336724,4.1,17805113119,1699.48811,South Asia,Low income
Afghanistan,AFG,AF,2012,6.251328167,4,19907317066,1914.774228,South Asia,Low income
Afghanistan,AFG,AF,2013,,4,20146404996,2015.514775,South Asia,Low income
Afghanistan,AFG,AF,2014,,3.9,20497126770,2069.424022,South Asia,Low income
Afghanistan,AFG,AF,2015,9.783921782,4,19134211764,2087.305323,South Asia,Low income
Afghanistan,AFG,AF,2016,6.551163456,4,18116562465,1981.118069,South Asia,Low income
Afghanistan,AFG,AF,2017,6.678401441,4.1,18753469630,2058.400221,South Asia,Low income
Afghanistan,AFG,AF,2018,6.655561152,4.1,18053228579,2082.635648,South Asia,Low income
Afghanistan,AFG,AF,2019,,4.1,18799450743,2152.366489,South Asia,Low income
Afghanistan,AFG,AF,2020,,,20116137326,2078.648615,South Asia,Low income
Africa Eastern and Southern,AFE,ZH,1970,,,40315782854,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1971,,,44476662703,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1972,,,48301485014,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1973,,,62983498805,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1974,,,78250886611,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1975,,,83435565923,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1976,,,83210426602,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1977,,,94988948105,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1978,,,1.06346E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1979,,,1.24498E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1980,,,1.56513E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1981,,,1.60378E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1982,,,1.54669E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1983,,,1.59758E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1984,,,1.46022E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1985,,,1.3044E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1986,,,1.47025E+11,,,Aggregates
Africa Eastern and Southern,AFE,ZH,1987,,,1.79739E+11,,,Aggregates
